Invoice_ID,Vendor_ID,Invoice_Date,Due_Date,Invoice_Amount,Tax_Amount,Total_Amount,Payment_Status,Payment_Date,Processing_Days,Approval_Level,Approved_By,Vendor_Reliability_Score,Transaction_Type,Invoice_Frequency,Avg_Invoice_Amount,Deviation_From_Avg,Fraud_Flag
INV_380659,V234,2023-04-06,2023-04-10,2442.0,396.17,2726.73,Approved,2023-05-03,13.0,2,john,3.0,Invoice,14,36660,60.32,no
INV_489641,V392,2023-07-08,2023-11-26,81093.0,11666.67,94261.22,Approved,2023-02-28,10.0,2,Jane Doe,9.0,DEBIT,18,26105,52.55,no
INV_760890,V611,2023-09-26,2023-07-27,85187.0,14543.73,91237.31,,2023-09-05,19.0,1,jane,9.0,Credit,8,35856,-32.12,1
INV_421282,V835,2023-04-22,2023-01-22,57633.0,8669.74,63968.21,0,2023-07-02,15.0,1,john,9.0,Adjustment,40,29680,41.19,No
INV_466920,V330,2023-07-08,2023-06-16,70100.0,8216.63,82657.01,Pending,2023-07-10,6.0,5,Tom Brown,7.0,Adjustment,33,18102,70.89,1
INV_875639,V180,2023-10-15,2023-05-26,52289.0,6450.29,57233.39,Pending,2023-11-02,21.0,4,Jane Doe,1.0,invoice,26,30721,83.4,0
INV_511903,V965,2023-10-20,2023-10-05,43791.0,7605.59,46651.76,Approved,2023-08-13,24.0,5,Sarah Williams,2.0,Adjustment,30,20349,38.2,Yes
INV_683222,V722,2023-12-12,2023-03-05,56602.0,8736.95,63228.59,1,2023-03-27,30.0,2,John Smith,5.0,Credit,40,30883,22.34,1
INV_300919,V885,2023-06-02,2023-02-12,93716.0,15594.22,106273.9,Approved ,2023-12-28,24.0,3,John Smith,2.0,Credit,40,17236,-32.47,High
INV_569636,V111,2023-12-24,2023-12-15,57485.0,3640.88,63572.47,N,2023-06-01,3.0,2,jane,5.0,Credit Note,45,30149,-26.41,Low
INV_910696,V180,2023-08-18,2023-09-07,25563.0,3772.99,28836.92,Rejected ,2023-08-15,5.0,1,john,10.0,Adjustment,50,34573,-9.72,No
INV_689952,V275,2023-06-09,2023-07-22,50342.0,5973.08,59280.95,Approved ,2023-03-18,1.0,2,Tom Brown,1.0,ADJ,27,28189,-12.4,0
INV_955271,V384,2023-07-16,2023-06-17,91007.0,8743.21,106706.49,1,2023-04-09,8.0,1,jane,3.0,Debit Note,45,34981,-42.32,1
INV_848809,V215,2023-08-14,2023-08-01,11922.0,1647.36,12931.95,Approved ,2023-02-18,5.0,2,jane,10.0,Debit Note,43,4268,-15.88,TRUE
INV_377380,V574,2023-10-24,2023-03-11,36427.0,,41023.1,0,2023-06-28,3.0,2,Mike Johnson,9.0,,40,10328,-36.26,Low
INV_265918,V711,2023-11-12,2023-03-16,23653.0,3576.69,27079.37,Y,2023-03-08,15.0,3,Jane Doe,2.0,Credit,18,14623,-6.92,Low
INV_279406,V691,2023-11-01,2023-03-18,55988.0,2989.6,60031.07,Rejected,2023-11-10,8.0,1,Tom Brown,7.0,Adjustment,6,45749,11.98,1
INV_769069,V208,2023-07-19,2023-02-17,34421.0,4790.91,36679.36,Approved ,2023-06-21,18.0,2,jane,9.0,Adjustment,14,16506,85.21,High
INV_199371,V689,2023-01-16,2023-09-18,74275.0,12259.1,83335.5,N,2023-09-26,18.0,3,Jane Doe,5.0,Invoice,2,34309,33.86,
INV_840982,NA,2023-03-18,2023-04-04,88737.0,15901.17,101399.53,,2023-05-05,20.0,5,John Smith,2.0,Credit,22,45532,31.25,FALSE
INV_955756,V818,2023-04-17,2023-07-03,62326.0,8798.13,66863.73,,2023-04-13,18.0,1,jane,2.0,,20,42252,-32.09,1
INV_647360,NA,2023-05-23,2023-02-01,18409.0,3023.58,19451.84,Approved ,2023-06-23,20.0,4,Mike Johnson,2.0,Adjustment,3,24545,91.67,
INV_896947,V406,2023-11-02,2023-09-26,23870.0,2823.18,26649.95,Rejected,2023-08-16,9.0,1,John Smith,10.0,Debit Note,47,41507,34.71,Low
INV_507900,V835,2023-08-11,2023-07-19,90545.0,12645.91,102397.67,Approved,2023-09-08,10.0,2,john smith,1.0,Invoice,46,25878,68.29,1
INV_173386,V426,2023-09-03,2023-03-03,73988.0,12765.49,86327.47,Approved,2023-06-26,0.0,5,Jane Doe,6.0,Adjustment,31,5012,-44.96,yes
INV_165855,V457,2023-06-03,2023-03-13,93527.0,8557.53,108760.72,Approved ,2023-04-16,13.0,3,John Smith,5.0,Credit Note,42,4336,67.9,1
INV_532549,V914,2023-12-07,2023-06-20,46183.0,7759.12,49181.32,1,2023-03-14,20.0,1,,8.0,Invoice,1,36360,26.78,0
INV_276117,V693,2023-03-10,2023-02-24,3542.0,405.21,4153.69,Y,2023-05-09,10.0,5,Mike Johnson,5.0,,17,21668,70.9,TRUE
INV_247259,V161,2023-01-09,2023-08-27,83303.0,,97471.28,Rejected ,2023-07-15,30.0,1,jane,10.0,,14,12025,36.7,No
INV_334861,V422,2023-09-20,2023-02-25,47321.0,7951.93,54973.59,Y,2023-06-21,2.0,5,Jane Doe,7.0,Debit Note,50,17003,70.32,Low
INV_426825,V224,2023-07-02,2023-04-27,96693.0,7854.86,109962.64,Rejected,2023-01-23,18.0,4,Mike Johnson,8.0,Debit Note,23,34222,-22.02,Yes
INV_885521,V134,2023-08-18,2023-02-02,97509.0,11620.5,109361.4,Approved,2023-01-12,21.0,4,,6.0,Debit Note,7,1403,-48.6,
INV_827007,V363,2023-06-06,2023-12-05,47676.0,,53964.49,N,2023-10-18,25.0,3,jane,8.0,invoice,42,20483,-26.01,0
INV_246346,V145,2023-10-23,2023-02-20,,3207.38,20433.8,0,2023-08-17,8.0,2,Tom Brown,10.0,Adjustment,36,3000,81.66,High
INV_294675,V195,2023-08-24,2023-09-03,96618.0,6489.73,110684.23,Approved,2023-04-12,24.0,3,,1.0,Debit Note,7,36785,41.42,No
INV_846026,V210,2023-03-07,2023-03-27,68948.0,9984.15,74020.97,Rejected,2023-01-18,26.0,3,,4.0,invoice,49,21186,82.97,
INV_454955,V327,2023-08-19,2023-11-12,,6815.24,46082.33,Y,2023-03-08,2.0,3,,7.0,Adjustment,3,17992,-39.49,0
INV_345474,V981,2023-11-16,2023-07-27,61297.0,8936.75,69610.91,0,2023-06-20,15.0,5,Mike Johnson,8.0,Debit Note,2,9472,-47.13,1
INV_504466,V932,2023-01-16,2023-10-10,4479.0,764.2,5256.33,Rejected ,2023-07-18,3.0,3,John Smith,2.0,Credit,6,48567,51.95,0
INV_507382,V344,2023-11-06,2023-01-04,N/A,10867.11,108346.35,0,2023-01-05,30.0,3,Sarah Williams,3.0,Invoice,7,24695,96.63,1
INV_548895,V598,2023-02-23,2023-09-06,82231.0,6362.11,90285.16,Rejected ,2023-04-13,24.0,1,Sarah Williams,9.0,Adjustment,36,37701,-19.46,High
INV_430137,V417,2023-03-04,2023-03-02,32950.0,2343.43,35946.43,Approved,2023-04-18,1.0,4,John Smith,4.0,,50,44495,39.71,Yes
INV_748801,V166,2023-11-12,2023-07-17,60772.0,6742.79,70592.47,Rejected ,2023-12-15,16.0,4,Sarah Williams,8.0,Credit,39,47835,75.55,No
INV_335515,V207,2023-05-07,2023-11-10,25857.0,2673.8,28254.15,N,2023-07-08,23.0,5,John Smith,7.0,,7,25875,59.61,0
INV_924503,V530,2023-08-18,2023-07-08,94626.0,6346.35,104275.78,paid,2023-07-26,17.0,3,Sarah Williams,9.0,Credit,12,43328,-42.79,no
INV_857693,V665,2023-07-28,2023-09-05,33177.0,5676.58,36038.7,Rejected,2023-09-03,17.0,5,Mike Johnson,8.0,Adjustment,14,7513,63.44,
INV_279157,V304,2023-02-21,2023-12-26,9999999.0,7248.32,96986.27,0,2023-10-26,7.0,5,John Smith,1.0,Credit,19,8158,62.66,
INV_828658,V961,2023-03-01,2023-08-04,60647.0,3748.5,66393.47,Rejected,2023-04-23,14.0,1,John Smith,3.0,Credit Note,28,46002,93.62,1
INV_192680,V451,2023-05-26,2023-03-24,49461.0,8670.37,57466.95,Approved ,2023-02-22,24.0,3,,5.0,Debit Note,14,4322,79.54,No
INV_558286,V610,2023-09-28,2023-10-04,31741.0,5608.62,34634.86,0,2023-12-14,29.0,2,john,8.0,Credit Note,30,9584,32.5,FALSE
INV_550979,V307,2023-04-06,2023-03-01,22856.0,2293.84,25990.61,1,2023-12-09,21.0,5,Mike Johnson,1.0,Invoice ,29,25195,43.54,0
INV_162285,V107,2023-07-17,2023-06-25,76285.0,7602.55,82660.6,,2023-10-23,14.0,3,Mike Johnson,6.0,,22,37886,-15.38,Yes
INV_807077,V222,2023-04-03,2023-05-19,12031.0,1220.44,13865.41,pending,2023-04-19,5.0,5,,4.0,invoice,20,24940,-48.41,
INV_127343,V875,2023-05-28,2023-10-28,68934.0,6563.69,79735.7,Pending,2023-07-17,23.0,5,John Smith,5.0,Invoice,23,2662,95.71,SAFE
INV_799516,V372,2023-11-14,2023-02-05,9553.0,1414.12,10657.39,Rejected ,2023-02-06,5.0,5,Tom Brown,10.0,invoice,36,30349,17.24,TRUE
INV_590146,V487,2023-08-15,2023-10-09,96122.0,12076.83,103077.48,Paid,2023-04-05,21.0,3,john,9.0,Credit,25,24763,-20.83,0
INV_440895,V982,2023-02-11,2023-10-27,59491.0,7854.58,68545.43,N,2023-10-14,8.0,5,Tom Brown,7.0,Credit,1,36742,61.82,High
INV_761412,V223,2023-04-08,2023-08-04,63551.0,11259.71,74548.59,Pending,2023-10-07,26.0,5,john,2.0,,30,2111,98.75,no
INV_612690,V894,2023-01-27,2023-04-06,38675.0,2821.38,41310.05,N,2023-05-05,3.0,3,,1.0,,35,30221,-10.81,0
INV_346455,V729,TBD,2023-04-19,6802.0,380.49,7555.44,Approved,2023-12-16,14.0,2,Mike Johnson,10.0,Debit Note,18,41711,68.27,No
INV_152932,V175,2023-03-12,2023-12-25,85670.0,,93985.47,Approved,2023-12-27,19.0,5,John Smith,10.0,Invoice,33,18638,90.55,High
INV_967981,V261,2023-12-09,2023-06-08,,11416.82,106552.2,Paid,2023-09-06,7.0,2,John Smith,4.0,invoice,47,21214,8.41,TRUE
INV_211493,Vendor,2023-08-02,2023-05-14,91039.0,11147.42,100588.37,Pending,2023-02-09,11.0,5,john,8.0,Adjustment,33,16040,85.99,0
INV_756964,V958,2023-08-03,2023-12-28,594.0,42.66,642.13,0,2023-01-02,,1,John Smith,3.0,Adjustment,13,47554,82.59,1
INV_861022,V190,2023-12-25,2023-04-23,24522.0,2237.94,28640.24,paid,2023-05-22,21.0,3,jane,5.0,Adjustment,26,43673,-9.65,
INV_237804,V448,2023-06-11,2023-07-27,95512.0,5214.76,110012.66,,2023-04-06,22.0,3,Mike Johnson,10.0,Credit,33,19802,28.69,Yes
INV_486014,V435,2023-04-27,2023-12-27,23659.0,3913.09,26208.25,,2023-09-20,30.0,1,john,7.0,invoice,3,32309,79.3,0
INV_502690,V795,2023-05-23,2023-11-09,77423.0,12930.21,84438.05,paid,2023-07-03,22.0,1,John Smith,9.0,Credit Note,34,41113,74.31,0
INV_801443,V175,2023-01-10,2023-02-13,80778.0,7023.47,88484.13,N,2023-04-15,24.0,3,Tom Brown,1.0,,44,24111,-36.06,1
INV_935911,V534,2023-07-24,2023-09-27,70976.0,6540.11,76587.65,1,2023-05-06,2.0,2,john,7.0,Credit,11,36576,42.64,1
INV_988704,V350,2023-04-06,2023-04-01,94319.0,6874.92,102244.86,Pending,2023-01-27,5.0,3,Mike Johnson,7.0,Credit,8,22276,90.42,Yes
INV_211844,V876,2023-08-26,2023-02-18,97088.0,9625.48,102648.96,0,2023-07-24,4.0,5,Sarah Williams,5.0,Credit Note,43,34674,4.99,
INV_240402,V183,2023-05-07,2023-10-16,11445.0,1181.84,13222.15,Approved,2023-10-16,13.0,4,Sarah Williams,2.0,Credit,5,7645,-1.58,0
INV_225008,V951,2023-07-13,2023-12-19,57517.0,10185.35,65936.69,Rejected,2023-02-12,16.0,1,Sarah Williams,6.0,Credit Note,39,26595,-31.59,yes
INV_362308,V622,2023-01-03,2023-02-13,95142.0,15680.26,100451.2,N,2023-09-02,19.0,3,Tom Brown,4.0,invoice,21,23826,22.53,Low
INV_120590,V365,2023-04-08,2023-06-08,29521.0,2137.99,33441.53,Pending,2023-01-19,25.0,2,Jane Doe,8.0,Credit,23,43998,-17.74,
INV_829133,V530,2023-09-27,2023-11-24,36005.0,4946.22,38674.57,Rejected,2023-02-19,12.0,4,,7.0,Adjustment,18,49323,4.03,FALSE
INV_514157,V258,2023-01-27,2023-09-02,58397.0,N/A,62385.06,Pending,2023-07-13,4.0,2,Mike Johnson,1.0,Invoice,27,21245,3.45,No
INV_135068,V306,2023-09-14,2023-12-20,84799.0,6203.28,94870.6,pending,2023-11-04,8.0,5,jane,3.0,Invoice,48,24031,36.75,
INV_261159,V926,2023-08-24,2023-01-09,15560.0,2319.7,17296.45,Rejected ,2023-06-01,25.0,1,Tom Brown,4.0,Credit Note,50,30385,90.46,Yes
INV_469214,V885,2023-07-15,2023-11-17,44835.0,6872.5,48577.75,Rejected ,2023-05-27,8.0,5,Tom Brown,6.0,,38,39084,-27.38,FALSE
INV_691162,V244,2023-11-07,2023-10-07,99734.0,8469.83,107105.19,Paid,2023-07-16,12.0,1,Tom Brown,7.0,Adjustment,14,13219,-40.36,no
INV_177898,V151,2023-01-20,2023-10-20,15468.0,991.07,17497.55,0,2023-09-06,22.0,3,Tom Brown,9.0,Adjustment,7,14387,52.61,1
INV_606442,V330,2023-12-22,2023-01-11,93460.0,7524.85,105785.02,Approved ,2023-12-25,26.0,1,,7.0,Credit,11,42763,20.18,Low
INV_318117,V370,2023-11-07,2023-03-26,87247.0,13955.02,94539.02,Pending,2023-10-26,20.0,5,Jane Doe,1.0,Credit,4,44717,81.93,0
INV_569134,V941,2023-10-03,2023-10-06,96794.0,16572.47,103240.42,0,2023-06-09,15.0,2,Mike Johnson,9.0,,3,38974,98.69,FALSE
INV_320799,V282,2023-02-27,2023-03-20,74102.0,9938.17,86001.02,Pending,2023-12-12,19.0,5,Mike Johnson,4.0,,1,43285,-46.76,1
INV_229620,V732,2023-02-17,2023-03-16,14890.0,2220.03,16998.65,1,2023-12-02,24.0,3,Jane Doe,,Adjustment,8,25317,-7.46,TRUE
INV_741274,V762,2023-05-28,2023-11-05,Negotiable,10909.97,94981.44,Rejected,2023-05-18,14.0,1,Mike Johnson,10.0,Credit,12,12141,35.19,Yes
INV_464780,V217,2023-04-28,2023-08-26,82758.0,6645.81,87028.92,Rejected,2023-11-13,6.0,3,Mike Johnson,6.0,Credit,44,47472,77.83,
INV_464733,V400,2023-03-28,2023-09-25,36456.0,5275.62,39424.86,0,2023-02-04,30.0,5,John Smith,9.0,Credit Note,46,12653,94.64,0
INV_599226,V420,2023-06-18,2023-07-04,27586.0,3196.6,29318.65,Y,2023-05-01,12.0,2,Tom Brown,9.0,Adjustment,17,10255,11.93,No
INV_660847,V949,2023-02-12,2023-06-20,58972.0,8965.22,64202.6,Approved,2023-09-07,15.0,1,john,10.0,Credit,2,3622,33.12,1
INV_267044,V235,2023-10-15,2023-01-17,74103.0,5960.13,81983.73,1,2023-09-21,19.0,4,Jane Doe,8.0,invoice,44,43380,46.13,
INV_314548,V913,2023-11-08,2023-02-25,83856.0,10440.44,89968.02,Approved ,2023-06-13,25.0,5,Tom Brown,15.0,Credit Note,38,2606,37.46,1
INV_755608,V955,2023-12-08,2023-04-16,25201.0,4429.04,26581.6,Approved ,2023-12-23,2.0,5,Sarah Williams,1.0,Credit Note,41,26057,-33.36,Yes
INV_754331,V859,2023-05-12,2023-02-21,99207.0,13190.89,108086.65,N,2023-08-20,24.0,2,Sarah Williams,10.0,,46,36874,34.6,FALSE
INV_276410,V712,2023-09-09,2023-01-28,66915.0,10958.26,75433.56,pending,2023-04-28,21.0,2,jane,4.0,Debit Note,9,27121,17.44,no
INV_714932,V168,2023-05-08,2023-05-17,9999999.0,3446.43,79614.35,paid,2023-06-23,21.0,5,Jane Doe,6.0,Adjustment,22,45574,27.75,Yes
INV_381261,V319,2023-10-15,2023-09-26,2671.0,456.98,3089.06,Y,2023-09-16,12.0,5,Jane Doe,9.0,Credit Note,41,18942,83.81,
INV_152335,V573,2023-08-28,2023-11-21,34421.0,3558.22,36562.06,Approved,2023-08-17,21.0,4,Tom Brown,5.0,Credit Note,30,3457,9.43,yes
